Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Generation
1,6.9,3.8,8.7,2.8,1.8,2.99,Moderate,Gen Z
2,5.3,3.5,8.0,4.2,3.0,2.75,Low,Gen Z
3,5.1,3.9,9.2,1.2,4.6,2.67,Low,Gen Z
4,6.5,2.1,7.2,1.7,6.5,2.88,Moderate,Gen Z
5,8.1,0.6,6.5,2.2,6.6,3.51,High,Gen Z
6,6.0,2.1,8.0,0.3,7.6,2.85,Moderate,Gen Z
7,8.0,0.7,5.3,5.7,4.3,3.08,High,Gen Z
8,8.4,1.8,5.6,3.0,5.2,3.2,High,Gen Z
9,5.2,3.6,6.3,4.0,4.9,2.82,Low,Gen Z
10,7.7,0.7,9.8,4.5,1.3,2.76,Moderate,Gen Z
11,9.7,3.6,8.0,2.5,0.2,3.43,High,Gen Z
12,6.9,1.1,9.1,2.1,4.8,2.97,Moderate,Gen Z
13,6.4,2.2,5.7,4.8,4.9,2.82,High,Gen Z
14,5.0,3.3,8.5,4.4,2.8,2.87,Low,Gen Z
15,8.9,0.3,6.8,0.7,7.3,3.4,High,Gen Z
16,6.7,0.3,6.6,2.0,8.4,3.2,Moderate,Gen Z
17,8.6,2.6,9.4,1.6,1.8,3.36,High,Gen Z
18,8.8,2.2,8.9,2.0,2.1,3.19,High,Gen Z
19,7.6,1.7,5.1,0.6,9.0,3.16,High,Gen Z
20,6.6,2.0,9.5,1.5,4.4,2.93,Moderate,Gen Z
21,7.1,3.0,6.1,0.5,7.3,2.9,Moderate,Gen Z
22,9.6,3.2,8.2,2.6,0.4,3.34,High,Gen Z
23,9.0,0.7,9.5,2.6,2.2,3.21,High,Gen Z
24,6.1,1.7,9.1,5.2,1.9,2.85,Moderate,Gen Z
25,5.0,2.0,7.1,1.3,8.6,2.68,Low,Gen Z
26,9.7,1.3,7.6,3.8,1.6,3.29,High,Gen Z
27,6.8,3.9,9.8,0.9,2.6,2.64,Moderate,Gen Z
28,6.4,0.1,8.0,3.0,6.5,2.95,Moderate,Gen Z
29,5.3,1.1,9.5,1.4,6.7,2.79,Low,Gen Z
30,9.9,1.0,8.4,3.6,1.1,3.25,High,Gen Z
31,6.2,2.9,6.8,3.8,4.3,3.05,Moderate,Gen Z
32,5.5,3.3,6.6,1.1,7.5,3.26,Low,Gen Z
33,5.2,2.4,8.4,0.1,7.9,2.47,Low,Gen Z
34,8.2,0.7,8.5,2.3,4.3,3.24,High,Gen Z
35,9.7,0.6,6.7,0.7,6.3,3.62,High,Gen Z
36,9.1,2.2,7.6,1.2,3.9,3.12,High,Gen Z
37,5.5,3.6,9.5,3.4,2.0,2.58,Low,Gen Z
38,8.6,3.6,9.4,1.9,0.5,3.03,High,Gen Z
39,8.2,0.3,5.8,5.4,4.3,3.29,High,Gen Z
40,5.0,0.6,7.7,4.2,6.5,2.61,Low,Gen Z
41,8.3,0.9,8.6,1.4,4.8,3.48,High,Gen Z
42,8.2,3.4,8.3,2.3,1.8,3.07,High,Gen Z
43,5.5,1.5,6.3,1.5,9.2,2.81,Low,Gen Z
44,9.5,2.5,9.0,1.5,1.5,3.49,High,Gen Z
45,7.9,2.0,6.0,4.3,3.8,2.97,Moderate,Gen Z
46,9.7,3.8,9.6,0.3,0.6,3.55,High,Gen Z
47,5.1,3.7,7.1,5.8,2.3,2.6,Low,Gen Z
48,9.3,1.3,5.8,3.3,4.3,3.09,High,Gen Z
49,9.7,2.8,7.9,0.3,3.3,3.47,High,Gen Z
50,9.4,3.0,8.5,2.2,0.9,3.18,High,Gen Z
51,6.8,1.2,9.0,4.9,2.1,3.12,Moderate,Gen Z
52,9.0,2.6,8.5,3.1,0.8,4.0,High,Gen Z
53,9.5,1.4,6.9,0.6,5.6,3.33,High,Gen Z
54,7.3,2.2,6.4,3.5,4.6,3.11,Moderate,Gen Z
55,5.2,0.1,9.1,2.2,7.4,2.79,Low,Gen Z
56,8.8,0.9,8.1,0.5,5.7,3.1,High,Gen Z
57,5.3,2.1,7.7,3.8,5.1,2.39,Low,Gen Z
58,9.0,1.1,7.2,0.5,6.2,3.39,High,Gen Z
59,5.1,3.9,9.2,4.0,1.8,2.52,Low,Gen Z
