Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level,Generation
18001,5.6,2.6,7.3,2.6,5.2,2.94,Low,Millennials
18002,6.4,2.0,7.0,4.6,3.3,2.74,Low,Millennials
18003,6.2,2.8,8.5,2.9,4.4,3.51,Moderate,Millennials
18004,6.3,3.3,6.2,2.2,5.2,2.52,Moderate,Millennials
18005,8.2,0.7,7.4,0.5,3.2,3.51,Low,Millennials
18006,4.9,3.1,8.0,0.4,6.5,2.81,Low,Millennials
18007,4.6,2.8,7.0,2.2,4.2,2.98,Low,Millennials
18008,5.9,1.7,9.1,1.3,4.2,2.94,Low,Millennials
18009,5.3,1.4,8.4,0.0,6.0,3.66,Low,Millennials
18010,8.2,1.6,8.2,1.1,4.9,3.37,Moderate,Millennials
18011,5.8,2.8,7.5,2.7,1.9,3.03,Moderate,Millennials
18012,6.7,3.4,9.1,2.4,4.9,2.9,Low,Millennials
18013,6.3,1.3,7.7,1.8,4.0,2.94,Low,Millennials
18014,6.4,1.1,5.3,1.7,5.9,3.25,Low,Millennials
18015,6.8,1.8,7.9,1.0,2.9,2.85,High,Millennials
18016,6.8,3.0,6.3,1.7,5.3,3.3,Low,Millennials
18017,4.9,3.4,8.0,0.8,6.5,2.55,Low,Millennials
18018,7.4,1.4,6.0,4.4,1.9,2.85,Low,Millennials
18019,3.6,3.3,7.6,1.6,3.3,2.41,Low,Millennials
18020,3.0,4.1,7.9,4.2,3.0,2.35,Moderate,Millennials
18021,6.0,0.1,8.7,1.0,1.5,3.0,Moderate,Millennials
18022,7.0,1.3,7.7,2.3,4.8,3.85,Moderate,Millennials
18023,7.1,2.8,7.9,2.4,6.0,3.41,Low,Millennials
18024,5.6,0.4,8.9,1.5,2.8,3.23,High,Millennials
18025,5.3,0.7,8.0,2.5,4.3,3.27,High,Millennials
18026,8.3,2.6,7.8,1.7,3.4,3.84,Low,Millennials
18027,5.5,2.2,7.2,0.5,1.3,2.77,Moderate,Millennials
18028,5.8,1.2,8.3,3.5,4.7,3.41,Moderate,Millennials
18029,5.2,1.8,9.1,2.0,3.0,3.14,Low,Millennials
18030,6.0,1.7,8.4,3.1,7.1,3.17,Low,Millennials
18031,8.9,2.0,8.8,0.4,3.4,3.17,Low,Millennials
18032,8.2,3.1,6.9,2.7,3.6,2.82,Low,Millennials
18033,6.1,0.1,6.5,3.2,2.7,3.3,Low,Millennials
18034,7.2,2.7,9.2,0.0,2.3,2.75,High,Millennials
18035,3.6,2.4,9.2,2.9,4.4,2.99,High,Millennials
18036,5.6,2.9,8.9,0.9,5.0,2.65,Moderate,Millennials
18037,6.4,2.7,9.2,0.8,4.1,2.98,Moderate,Millennials
18038,5.9,0.5,9.1,2.0,4.6,3.16,Moderate,Millennials
18039,4.4,4.5,7.5,2.1,4.9,2.46,Moderate,Millennials
18040,6.2,2.3,7.6,1.5,7.0,2.64,Low,Millennials
18041,6.4,1.9,8.9,3.9,4.7,2.67,Moderate,Millennials
18042,5.2,3.6,6.5,2.3,2.6,2.45,Moderate,Millennials
18043,5.9,2.5,8.4,3.4,3.3,3.11,High,Millennials
18044,6.0,0.9,8.1,0.3,3.4,3.06,Low,Millennials
18045,7.1,3.1,7.3,0.0,3.2,2.63,Low,Millennials
18046,6.0,1.4,6.7,1.0,4.3,3.29,Moderate,Millennials
18047,5.2,1.4,8.6,1.0,5.0,3.04,Moderate,Millennials
18048,6.5,1.4,7.0,2.9,4.5,2.49,High,Millennials
18049,7.0,1.7,8.7,1.1,1.8,2.99,Moderate,Millennials
18050,5.9,2.1,7.9,3.3,5.7,2.92,Moderate,Millennials
18051,2.9,2.2,7.3,1.0,3.5,2.72,Moderate,Millennials
18052,5.4,4.3,8.2,2.3,3.5,2.65,Low,Millennials
18053,7.1,2.0,7.4,3.8,5.5,2.84,Low,Millennials
18054,2.9,1.7,9.2,1.6,3.2,3.38,Moderate,Millennials
18055,5.4,3.0,9.5,1.3,5.5,3.13,Moderate,Millennials
18056,5.0,3.2,7.3,1.6,5.7,3.11,Low,Millennials
18057,4.6,3.6,7.9,2.8,5.9,2.91,Low,Millennials
18058,4.9,0.2,9.0,1.8,5.0,3.09,Low,Millennials
18059,4.2,1.7,6.7,3.3,6.5,2.89,High,Millennials
18060,3.6,1.6,8.7,0.0,4.7,3.55,Low,Millennials
18061,5.5,2.6,7.7,1.4,6.0,3.22,Low,Millennials
18062,7.7,1.3,8.4,3.6,0.6,2.41,Moderate,Millennials
18063,6.2,2.9,8.4,2.2,4.3,2.8,Moderate,Millennials
18064,7.9,2.8,6.7,3.1,3.9,2.72,Low,Millennials
18065,3.7,1.6,9.0,2.4,6.4,3.22,Moderate,Millennials
18066,4.4,2.4,7.9,3.0,4.2,2.95,Moderate,Millennials
18067,4.5,0.7,8.8,0.3,3.2,3.0,Moderate,Millennials
18068,8.3,2.0,6.3,3.1,3.3,3.2,Low,Millennials
18069,3.8,2.6,6.9,3.5,4.3,2.72,High,Millennials
18070,3.9,2.6,5.3,1.4,4.7,2.73,Moderate,Millennials
18071,3.8,4.0,10.0,2.2,4.8,2.98,Low,Millennials
18072,5.7,0.9,9.2,2.0,2.6,3.39,High,Millennials
18073,4.6,2.2,7.1,2.3,3.0,3.02,Moderate,Millennials
18074,8.0,2.5,7.0,1.7,3.5,2.58,Low,Millennials
18075,6.0,3.2,8.3,1.6,3.1,2.67,Moderate,Millennials
18076,2.4,4.0,8.0,3.5,4.5,3.29,Moderate,Millennials
18077,6.8,1.7,8.0,1.5,3.7,2.39,Moderate,Millennials
18078,3.9,2.1,7.1,4.3,0.9,2.87,Moderate,Millennials
18079,6.5,4.2,8.1,2.3,4.5,2.88,Moderate,Millennials
18080,7.6,2.6,9.0,0.1,4.7,2.67,Moderate,Millennials
18081,6.4,3.2,6.8,0.0,6.3,3.09,Low,Millennials
18082,7.1,3.4,7.3,2.2,4.8,2.87,Moderate,Millennials
18083,5.4,1.6,7.7,2.7,4.0,3.34,Low,Millennials
18084,3.7,4.5,8.8,3.3,5.1,3.28,Moderate,Millennials
18085,7.7,1.0,7.2,2.0,5.9,2.95,Moderate,Millennials
18086,2.5,1.6,6.8,1.7,2.6,3.56,Moderate,Millennials
18087,6.4,2.6,10.0,0.0,5.1,2.86,Moderate,Millennials
18088,7.6,3.6,7.3,3.1,4.3,2.33,Moderate,Millennials
18089,6.3,2.2,7.1,2.0,6.7,3.3,Low,Millennials
18090,6.0,3.1,7.9,2.2,7.5,3.38,Moderate,Millennials
18091,5.3,0.8,8.9,1.4,2.0,3.4,Moderate,Millennials
